Fecha: 2025-12-09
Hora: 14:13:40
"Canales activos: CH1=True, CH2=False, CH3=False"
Operación: Ninguna
Trigger: Desactivado
Tiempo (s),CH1 (V),CH2 (V),CH3 (V),Operación (V)
1.81498,0.2004,nan,nan,nan
1.817784,0.2835,nan,nan,nan
1.820588,0.4301,nan,nan,nan
1.823392,0.5083,nan,nan,nan
1.8262,0.479,nan,nan,nan
1.829004,0.3617,nan,nan,nan
1.831808,0.2346,nan,nan,nan
1.834616,0.1955,nan,nan,nan
1.83742,0.2737,nan,nan,nan
1.840228,0.4106,nan,nan,nan
1.843028,0.5034,nan,nan,nan
1.845836,0.4888,nan,nan,nan
1.84864,0.3812,nan,nan,nan
1.851444,0.2493,nan,nan,nan
1.854248,0.1955,nan,nan,nan
1.857052,0.2639,nan,nan,nan
1.859864,0.391,nan,nan,nan
1.862664,0.4936,nan,nan,nan
1.865468,0.4985,nan,nan,nan
1.868276,0.3959,nan,nan,nan
1.87108,0.2639,nan,nan,nan
1.873884,0.1955,nan,nan,nan
1.876688,0.2444,nan,nan,nan
1.879492,0.3763,nan,nan,nan
1.8823,0.4888,nan,nan,nan
1.885104,0.4985,nan,nan,nan
1.887908,0.4154,nan,nan,nan
1.890712,0.2737,nan,nan,nan
1.89352,0.2004,nan,nan,nan
1.896324,0.2346,nan,nan,nan
1.899128,0.3568,nan,nan,nan
1.901932,0.479,nan,nan,nan
1.904744,0.5132,nan,nan,nan
1.907544,0.4301,nan,nan,nan
1.910348,0.2933,nan,nan,nan
1.913156,0.2053,nan,nan,nan
1.91596,0.2248,nan,nan,nan
1.918764,0.3421,nan,nan,nan
1.921568,0.4692,nan,nan,nan
1.924372,0.5132,nan,nan,nan
1.92718,0.4448,nan,nan,nan
1.929984,0.3079,nan,nan,nan
1.932788,0.2053,nan,nan,nan
1.9356,0.2151,nan,nan,nan
1.9384,0.3226,nan,nan,nan
